team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,player_of_the_match,most_runs,most_wkts
0,1,0,0,20,4,26,4,2,20,2,23
2,8,9,1,21,7,27,6,9,34,30,16
5,4,4,1,38,5,39,7,6,1,1,39
9,6,10,0,32,2,24,6,10,36,31,40
3,7,7,1,17,4,16,9,4,33,5,10
8,0,0,1,23,4,28,6,1,49,42,6
1,3,3,1,37,4,10,8,2,40,33,41
4,7,7,1,55,1,47,5,5,0,8,26
9,2,2,1,28,3,24,5,10,29,25,46
0,5,5,1,26,4,32,3,6,43,43,0
6,8,6,0,34,6,28,5,7,16,32,18
4,3,4,0,13,6,21,3,4,19,29,21
2,1,2,0,30,3,23,6,3,12,12,22
7,9,10,1,3,7,3,4,10,46,26,46
6,0,0,1,25,3,14,10,7,16,19,18
5,2,5,0,54,5,19,10,6,43,36,42
3,8,9,1,34,2,37,7,9,38,35,24
1,4,4,1,15,3,19,4,5,0,0,20
0,9,10,1,27,1,33,4,10,10,42,31
7,2,2,1,48,3,40,8,8,30,40,4
6,3,6,0,14,3,4,10,7,51,14,45
5,1,1,1,4,7,9,3,2,27,28,30
4,8,9,1,26,7,29,6,5,22,16,1
9,3,3,1,33,1,36,7,4,25,25,15
0,7,7,1,33,6,36,3,8,8,9,10
6,2,6,0,16,5,22,4,3,13,4,16
8,9,10,1,8,6,13,7,10,39,47,13
6,5,5,1,12,5,16,2,6,23,17,19
1,7,7,1,37,2,32,6,2,15,27,17
4,0,0,1,29,1,49,7,5,45,39,26
5,9,10,1,45,4,46,8,10,10,37,37
3,2,2,1,1,8,1,4,3,28,22,22
7,8,9,1,31,5,31,10,8,8,38,10
1,6,6,1,23,4,29,2,7,11,13,14
4,2,2,1,53,5,36,10,5,45,39,39
5,0,0,1,44,4,45,10,6,1,45,0
8,3,9,0,6,8,12,7,4,32,21,32
7,9,7,0,24,7,31,1,10,35,47,33
1,6,6,1,39,2,42,4,7,14,14,17
2,3,3,1,46,2,44,8,3,28,24,34
0,4,0,0,37,5,23,8,1,24,42,11
5,8,9,1,52,4,49,2,9,9,11,1
2,7,7,1,51,2,48,9,3,7,10,28
6,9,10,1,33,3,36,3,10,36,13,33
3,0,0,1,35,1,41,1,1,50,44,38
1,4,4,1,40,1,5,10,2,31,28,41
2,5,2,0,9,7,15,3,6,47,17,43
7,6,6,1,7,5,11,6,7,14,14,5
1,8,9,1,13,5,17,3,9,5,28,27
4,9,4,0,36,1,37,7,5,2,26,3
5,7,7,1,18,8,11,10,6,48,41,19
3,0,0,1,8,8,13,6,1,18,7,12
1,8,9,1,16,7,7,9,2,27,23,30
5,6,6,1,49,4,6,10,6,43,36,8
4,7,7,1,20,6,25,3,8,44,38,5
2,9,10,1,43,6,38,8,3,13,31,29
6,4,6,0,15,2,20,0,5,45,39,3
0,8,9,1,50,5,30,10,1,49,42,7
3,1,1,1,47,1,35,8,4,41,35,21
5,7,7,1,10,5,7,8,6,47,41,43
9,1,10,0,5,3,11,5,2,42,25,36
0,2,2,1,29,7,8,10,1,3,3,44
3,5,8,2,0,0,0,0,0,52,48,47
2,6,6,1,38,2,33,9,3,6,15,9
9,8,10,0,7,7,11,5,9,34,30,27
4,3,8,2,0,0,0,0,0,52,48,47
6,7,7,1,41,4,35,6,7,21,15,25
0,1,1,1,42,3,34,7,1,4,20,44
8,4,9,0,41,3,43,6,5,0,18,39
9,5,5,2,0,0,0,0,0,52,48,47
4,5,4,0,11,8,18,2,6,17,34,19
0,9,10,1,19,6,25,6,10,26,46,2
4,9,10,1,22,7,7,7,5,37,6,35
4,5,4,0,2,8,2,2,6,17,41,0
